Memory Usage,Inference_Time,Model_Output
0,263,0
0,275,0
0,262,0
0,265,0
0,264,0
0,275,0
0,268,0
0,267,0
0,271,0
0,279,3
0,272,5
0,275,0
0,271,0
0,276,0
0,270,0
0,274,0
0,271,0
0,277,0
0,275,0
4.29E+09,278,5
0,272,0
24,276,4
0,303,0
0,273,0
0,272,0
0,277,0
32,310,0
0,264,0
4.29E+09,417,0
0,276,0
0,272,3
0,264,0
0,274,4
0,267,0
0,266,3
0,276,0
0,274,0
0,277,4
0,272,4
0,278,0
4.29E+09,334,0
0,278,0
0,273,0
0,273,0
4.29E+09,349,4
0,274,0
0,269,0
0,275,0
0,274,0
2324,275,0
0,272,0
0,272,0
0,274,0
0,273,0
0,271,0
0,274,0
4.29E+09,265,0
0,266,0
0,267,0
0,273,0
0,275,0
0,276,0
0,273,3
0,279,3
0,275,0
0,265,0
0,271,0
0,274,0
0,260,0
0,275,0
0,272,0
0,274,0
0,273,0
0,266,0
0,273,4
0,427,3
0,266,0
0,276,4
0,271,0
0,273,0
0,271,0
0,266,0
0,273,4
0,267,0
0,270,0
0,278,0
0,273,0
0,398,4
0,275,2
0,274,0
0,261,0
0,273,0
0,260,0
4.29E+09,372,0
0,271,0
0,276,0
0,272,0
0,275,0
0,275,0
24,274,0
0,270,0
0,267,0
0,272,4
0,278,4
0,275,0
0,275,0
0,267,0
0,276,0
0,271,0
0,265,0
0,272,0
0,276,0
0,275,5
0,269,0
0,272,3
0,276,0
0,267,0
0,275,0
0,272,0
0,278,0
0,269,0
0,277,0
0,261,0
0,278,0
0,269,0
0,276,4
24,273,5
0,283,4
0,275,4
0,277,0
0,274,0
0,274,0
0,270,0
0,264,0
0,256,0
0,270,0
0,263,0
0,275,0
0,264,0
0,274,0
0,270,0
0,279,5
0,261,0
0,275,3
0,263,0
0,279,5
0,274,5
0,264,0
0,267,0
0,278,0
2324,450,0
0,277,0
4.29E+09,461,0
0,274,0
0,263,0
0,271,0
0,261,0
0,273,0
4.29E+09,327,0
0,267,0
0,273,0
0,276,0
4.29E+09,268,0
0,278,3
0,272,5
0,260,0
0,274,3
0,278,0
0,272,0
0,278,0
4.29E+09,289,4
0,278,3
0,259,0
0,278,0
0,262,0
0,276,0
0,270,4
24,276,4
0,271,4
0,276,5
0,266,0
0,273,0
0,271,0
0,275,5
0,274,0
0,264,0
4.29E+09,310,0
0,274,0
0,262,0
0,276,4
0,271,0
0,276,0
0,274,0
0,276,0
0,271,2
0,265,0
0,275,0
0,265,0
0,269,0
0,272,0
24,276,0
0,265,0
0,269,0
0,275,0
0,255,0
0,274,4
0,263,0
0,274,0
0,268,0
0,268,0
0,269,0
0,275,0
0,266,0
0,263,0
0,275,0
0,268,0
0,268,0
0,268,0
0,272,4
0,275,0
0,274,5
0,278,5
0,270,0
0,276,0
0,256,0
0,275,0
0,275,0
0,263,0
0,255,0
0,267,0
0,276,0
4.29E+09,389,0
0,273,0
0,276,4
0,274,4
0,276,0
0,364,0
0,276,0
0,272,3
0,279,3
0,273,5
0,259,0
0,275,5
0,275,0
0,275,0
0,280,4
0,263,0
0,263,0
0,267,0
0,275,0
0,273,4
0,275,5
0,271,5
0,276,0
0,262,0
0,275,0
0,271,5
24,278,0
0,271,0
0,277,5
0,259,0
0,275,0
0,272,0
0,279,5
0,270,0
0,278,0
0,264,0
0,268,0
0,268,0
0,265,0
0,271,0
0,273,0
0,275,0
0,273,0
0,271,3
0,279,0
0,275,0
0,277,3
0,271,0
0,277,0
0,273,0
0,275,0
0,271,0
0,276,0
0,271,4
0,266,0
0,278,5
0,275,0
0,264,0
0,275,0
0,271,0
0,273,0
0,273,5
0,273,0
0,261,0
0,276,0
0,262,0
0,279,0
24,275,5
0,278,4
0,273,0
0,275,3
0,263,0
0,273,0
0,273,0
0,278,0
0,273,2
0,277,0
0,274,0
0,277,0
0,270,0
0,264,0
0,275,0
0,275,4
0,272,5
0,278,0
0,259,0
0,259,0
0,272,0
0,264,0
0,268,0
0,265,0
0,272,4
0,278,0
0,269,0
0,276,0
0,263,0
0,273,0
0,272,0
0,275,0
0,275,4
0,276,0
0,271,0
0,276,0
0,267,0
0,278,0
0,271,0
0,276,0
0,255,0
0,278,0
0,270,0
0,276,0
0,272,0
0,266,0
24,273,5
0,277,0
0,269,0
0,266,0
0,271,0
0,276,0
4.29E+09,445,0
0,278,0
0,275,3
0,274,0
0,260,0
0,275,0
4.29E+09,334,0
0,275,0
0,274,0
0,278,5
0,262,0
0,275,3
0,273,0
0,275,0
0,273,4
0,272,0
0,275,0
0,268,0
0,275,0
0,268,0
0,270,0
0,277,3
0,255,0
0,281,0
0,273,5
0,277,3
0,265,0
2324,278,3
0,255,0
0,277,0
4.29E+09,353,0
0,274,0
0,273,5
0,276,0
4.29E+09,458,0
0,279,0
0,271,0
0,276,4
0,274,4
0,270,0
0,263,0
0,279,0
0,274,0
0,279,0
0,273,0
0,272,0
4.29E+09,462,3
0,276,0
0,273,4
0,277,0
24,261,0
0,268,0
0,272,5
0,276,0
0,270,0
0,278,0
0,274,0
0,274,5
0,267,0
0,270,0
0,270,0
0,277,0
0,269,0
0,279,0
0,271,0
4.29E+09,279,5
0,270,0
0,276,0
0,274,0
0,277,4
0,275,0
0,273,0
0,271,0
0,276,0
0,272,0
0,275,0
0,274,0
0,276,0
0,255,0
0,283,4
0,267,0
0,266,0
0,275,0
0,276,0
0,273,5
0,276,4
0,270,0
0,277,0
0,264,0
0,276,0
0,275,0
0,281,0
0,272,0
0,273,0
0,273,5
0,277,0
0,275,0
0,278,4
0,272,0
0,273,0
0,274,0
0,276,5
0,275,3
0,278,0
0,273,4
0,272,0
0,270,0
0,274,4
0,274,5
0,276,4
0,271,0
0,275,5
0,261,0
0,271,0
0,274,0
0,275,5
0,272,0
0,275,0
0,269,0
0,274,0
0,272,0
0,276,0
0,262,0
0,267,0
0,273,4
0,275,0
0,271,0
4.29E+09,379,0
0,271,5
0,277,0
0,275,0
0,277,0
0,271,0
0,279,0
0,263,0
0,276,0
0,270,0
0,276,0
0,271,0
0,275,0
0,448,4
0,276,0
0,269,0
0,279,2
0,274,0
0,259,0
0,270,0
0,273,0
0,262,0
0,267,0
0,274,0
0,278,0
0,272,0
0,278,0
0,262,0
0,278,0
0,271,0
0,277,0
0,265,0
0,273,0
0,276,3
0,276,4
0,273,0
0,274,0
0,274,0
0,280,0
0,271,4
0,277,0
0,273,5
0,276,4
0,271,1
0,264,0
0,261,0
4.29E+09,381,0
0,421,0
0,273,0
0,433,0
0,268,0
0,266,0
0,274,0
0,274,0
0,278,2
0,275,4
0,268,0
0,273,4
0,272,0
0,273,0
2324,330,0
0,274,5
0,276,0
0,261,0
0,278,0
0,269,0
0,279,0
0,269,0
0,277,5
0,269,0
0,273,0
0,270,0
0,279,4
0,273,0
0,275,4
0,270,0
0,279,0
0,269,0
0,273,0
0,270,0
0,279,3
0,272,4
0,279,4
0,264,0
0,276,3
0,270,0
0,264,0
0,274,0
0,275,0
0,273,0
0,272,0
0,256,0
0,279,0
4.29E+09,450,5
0,267,0
0,261,0
0,269,0
0,273,0
0,276,3
0,272,0
0,274,0
0,261,0
0,279,4
0,271,0
0,276,0
0,262,0
0,274,0
0,271,0
0,266,0
0,274,4
0,278,0
0,260,0
0,267,0
0,271,5
0,276,4
0,270,4
0,265,0
0,264,0
0,276,5
0,255,0
0,279,3
0,274,5
0,277,0
0,272,0
0,274,0
4.29E+09,362,4
0,276,0
0,269,0
0,276,0
24,272,4
0,279,0
0,271,0
0,277,0
0,271,0
0,276,5
0,273,0
0,277,4
0,270,0
0,277,0
0,266,0
0,275,0
0,274,5
0,276,0
0,265,0
0,267,0
0,274,0
0,276,0
32,274,0
0,277,0
0,255,0
0,277,3
0,261,0
0,278,0
0,261,0
0,276,0
0,259,0
0,279,0
0,262,0
0,274,0
0,272,0
0,275,0
0,269,0
0,279,0
0,268,0
0,278,0
0,274,4
24,272,0
0,271,4
0,265,0
0,275,0
0,276,5
0,263,0
0,274,0
0,276,4
0,274,0
0,275,5
0,276,0
4.29E+09,332,0
0,277,0
0,269,0
0,277,4
0,261,0
0,277,5
0,262,0
0,264,0
0,269,0
0,273,0
0,271,0
0,266,0
0,270,0
0,278,0
0,362,4
0,277,3
0,272,0
0,278,3
0,274,0
2324,275,0
0,272,0
0,274,0
0,274,4
0,277,0
0,263,0
0,279,0
4.29E+09,448,0
0,275,0
0,271,0
0,273,0
0,312,0
0,273,0
0,272,0
0,273,0
0,271,0
0,278,5
0,274,4
0,279,0
0,267,0
0,276,0
0,274,4
0,276,4
0,272,0
0,278,4
0,260,0
0,266,0
0,274,0
0,265,0
0,255,0
0,275,0
0,272,4
0,275,0
0,263,0
0,278,5
0,260,0
0,277,0
0,271,0
0,279,4
0,275,4
0,279,0
0,268,0
0,278,0
0,271,0
0,268,0
0,273,0
0,267,0
0,262,0
0,263,0
0,270,0
0,274,0
0,272,0
0,275,0
0,274,0
0,276,4
0,275,0
0,279,0
0,275,3
0,275,0
0,273,3
0,276,0
0,274,5
0,276,0
0,271,0
0,277,0
0,275,0
0,274,0
4.29E+09,307,0
0,274,4
0,274,0
0,279,0
0,270,0
0,279,0
0,272,4
0,276,0
0,273,0
0,277,5
0,272,0
0,275,0
0,262,0
0,275,0
0,274,3
0,278,4
0,263,0
0,276,0
0,272,0
0,277,4
0,275,0
0,282,0
0,273,0
0,268,0
0,274,4
0,274,0
0,272,0
0,273,0
0,279,0
0,275,0
0,263,0
0,266,0
0,271,0
0,276,0
0,273,5
0,284,4
24,271,0
0,278,0
0,265,0
0,266,0
0,339,4
4.29E+09,375,0
0,263,0
0,264,0
0,259,0
0,265,0
0,272,5
0,278,0
0,300,0
0,277,0
0,264,0
4.29E+09,448,0
0,273,4
0,276,0
0,272,0
0,277,0
0,270,0
0,280,0
0,266,0
0,272,0
0,264,0
0,275,0
0,270,0
0,275,5
0,269,0
0,276,0
0,272,0
0,277,0
0,269,0
0,273,0
0,273,0
0,279,5
0,269,0
0,273,0
0,273,0
0,273,0
2324,429,0
0,264,0
0,262,0
0,274,0
0,270,0
0,276,0
0,263,0
0,276,0
0,264,0
0,277,0
0,274,0
0,277,3
0,272,0
0,274,0
0,275,4
0,273,0
0,271,0
0,265,0
0,264,0
0,275,0
0,269,0
0,437,0
0,271,0
0,264,0
0,274,0
0,272,0
4.29E+09,329,0
0,272,0
24,260,0
4.29E+09,306,0
0,272,4
0,276,4
0,266,0
0,276,4
0,275,0
0,277,0
0,272,0
0,271,0
0,262,0
0,275,0
0,267,0
0,277,0
0,271,0
0,278,0
0,272,0
0,441,0
0,262,0
0,276,0
0,275,3
0,277,6
0,262,0
0,268,0
0,271,0
0,273,0
0,263,0
0,276,5
0,274,0
0,276,0
0,365,0
0,277,5
0,271,0
0,273,0
0,263,0
0,276,0
0,273,0
0,277,0
0,266,3
0,271,0
0,271,0
0,275,5
0,273,0
0,276,0
0,272,0
0,275,0
0,256,0
0,274,0
0,274,0
0,277,4
4.29E+09,282,0
0,268,0
0,273,5
0,277,4
0,271,0
0,279,4
0,272,5
0,274,0
0,269,0
0,275,0
0,312,0
0,274,0
0,256,0
0,276,0
0,263,0
0,272,0
4.29E+09,430,0
0,276,0
0,269,0
0,282,0
0,262,0
0,277,0
0,271,0
0,266,0
0,269,0
0,277,0
0,272,0
4.29E+09,404,0
0,271,5
0,270,0
0,273,0
0,276,0
0,272,4
4.29E+09,441,0
0,260,0
0,276,4
0,273,3
0,271,0
0,269,0
0,274,0
0,274,4
0,266,0
0,272,4
0,277,0
0,274,0
0,273,0
0,274,4
0,273,0
0,261,0
0,270,0
0,274,0
0,275,0
0,272,0
0,276,0
2324,455,0
0,277,5
0,272,0
0,276,0
0,269,0
0,276,0
0,264,0
0,278,3
0,273,0
0,274,0
0,269,0
0,273,0
0,271,0
0,275,4
0,260,0
0,274,0
0,266,0
0,276,0
0,272,0
0,278,0
0,273,0
0,266,0
0,272,4
0,273,0
0,271,4
0,277,3
0,274,3
0,278,5
0,269,0
0,270,0
0,260,0
0,275,3
0,269,0
0,276,5
0,275,3
0,277,0
0,269,0
0,265,0
0,272,0
0,275,5
0,272,0
0,275,0
0,275,0
0,272,0
0,271,0
0,278,4
0,269,0
0,273,0
0,275,0
0,276,0
0,259,0
0,364,0
0,271,5
0,264,0
0,264,0
0,278,0
0,393,0
0,277,4
0,272,0
0,279,0
0,263,0
0,265,0
0,272,0
0,265,0
0,255,0
0,277,4
0,270,0
24,271,0
0,274,3
0,276,0
0,270,0
4.29E+09,279,0
0,261,0
0,267,0
0,274,4
0,275,0
0,265,0
0,276,5
0,260,0
2324,331,0
0,274,3
0,268,0
0,271,4
0,278,3
0,275,3
0,275,5
0,272,4
0,275,0
0,276,5
0,275,5
0,272,4
0,275,0
0,271,0
0,270,0
0,269,0
0,277,0
0,272,0
0,266,0
0,267,0
0,274,0
0,271,0
0,267,0
0,273,0
0,272,0
24,274,5
0,265,0
0,267,0
0,267,0
0,269,0
0,278,0
0,272,0
0,266,0
0,260,0
0,271,0
0,259,0
0,276,0
0,259,0
0,266,0
0,260,0
0,276,0
0,263,0
0,275,0
0,274,3
0,276,0
0,266,0
0,273,0
0,417,0
0,275,0
0,273,0
0,278,0
0,275,0
0,265,0
0,273,5
0,267,0
0,274,0
24,273,0
4.29E+09,406,0
0,267,0
0,272,0
0,277,0
0,269,0
0,265,0
0,275,2
0,279,4
0,259,0
0,275,0
0,260,0
0,275,0
0,272,0
0,278,0
0,271,0
0,279,4
0,275,4
0,274,0
0,272,0
0,278,0
0,263,0
0,331,0
0,274,5
0,275,0
0,275,4
0,274,0
0,261,0
0,278,0
0,263,0
0,266,0
0,262,0
0,274,0
0,259,0
0,259,0
0,263,0
0,266,0
0,274,0
0,276,0
0,273,4
0,274,0
0,272,3
0,277,3
0,274,0
0,273,0
0,270,0
0,277,5
0,275,0
0,273,0
0,273,0
0,320,0
0,271,0
0,273,0
0,255,0
0,276,0
0,272,3
0,273,0
0,267,0
0,275,0
0,274,3
0,273,0
0,271,0
0,276,0
0,260,0
0,275,4
24,272,0
0,279,0
0,270,0
0,361,0
0,266,3
0,276,3
0,271,0
0,275,0
0,268,0
0,275,0
0,269,0
0,276,0
0,262,0
0,268,0
0,263,0
0,267,0
0,269,0
0,275,5
0,271,3
0,265,0
0,263,0
0,276,4
0,263,0
0,273,0
0,259,0
0,274,0
0,272,0
0,275,0
0,272,0
0,276,0
0,269,0
0,279,0
0,262,0
0,277,4
0,261,0
0,278,0
0,271,0
0,276,0
0,270,0
0,278,0
0,255,0
0,274,0
0,271,0
0,279,0
0,273,4
0,274,0
0,255,0
0,270,0
0,271,0
0,278,4
0,272,0
0,267,0
0,272,0
0,260,0
0,272,0
0,264,0
0,275,4
0,276,0
0,259,0
0,279,0
0,274,0
0,333,5
0,273,0
0,266,0
0,270,0
0,267,0
0,274,4
0,275,0
0,262,0
0,278,0
0,273,0
0,267,0
0,273,0
0,274,0
4.29E+09,342,0
24,279,0
0,276,4
0,274,0
4.29E+09,293,5
0,278,0
0,264,0
0,275,0
0,263,0
0,273,0
0,275,5
0,273,0
0,270,0
0,267,0
0,270,0
0,437,0
0,269,0
0,276,4
0,270,0
0,274,0
0,274,3
0,276,0
0,261,0
0,259,0
0,262,0
0,279,0
